run,date,trades,profit_usdt,profit_pct,wins,draws,losses,win_rate_pct,profit_factor
baseline_train,31/01/2025,5,-0.50541807,,2,0,3,,0.24976524
baseline_train,28/02/2025,3,3.04782585,,3,0,0,,0.0
baseline_train,31/03/2025,4,2.40341794,,4,0,0,,0.0
baseline_train,30/04/2025,2,0.44311646,,2,0,0,,0.0
baseline_train,31/05/2025,2,0.68578227,,2,0,0,,0.0
baseline_train,30/06/2025,6,1.64076465,,4,0,2,,4.4763486
baseline_train,31/07/2025,1,1.21615296,,1,0,0,,0.0
baseline_train,31/08/2025,0,0.0,,0,0,0,,0.0
baseline_train,30/09/2025,5,-1.00867886,,3,0,2,,0.56732442
baseline_train,31/10/2025,14,44.59587067,,12,0,2,,133.35764647
baseline_train,30/11/2025,1,-0.34450752,,0,0,1,,0.0
baseline_train,31/12/2025,13,1.58839207,,5,0,8,,2.42535123
baseline_train,31/01/2026,1,-0.59368125,,0,0,1,,0.0
baseline_test,31/01/2026,3,-0.0427437,,1,0,2,,0.90891131
baseline_test,28/02/2026,13,-22.84275693,,4,0,9,,0.03728274
baseline_test,31/03/2026,14,3.88725089,,13,0,1,,10.53823609
baseline_test,30/04/2026,4,1.21567202,,4,0,0,,0.0
baseline_test,31/05/2026,10,1.14361572,,8,0,2,,3.89963499
baseline_test,30/06/2026,5,1.42554204,,4,0,1,,30.6695865
baseline_test,31/07/2026,8,2.89924877,,7,0,1,,333.69478819
risk_train,31/01/2025,7,-1.35724272,,2,0,5,,0.1051821
risk_train,28/02/2025,11,1.21639181,,7,0,4,,2.17079874
risk_train,31/03/2025,8,-0.03624625,,4,0,4,,0.72962656
risk_train,30/04/2025,5,-0.09427872,,3,0,2,,0.6161544
risk_train,31/05/2025,6,0.38047859,,4,0,2,,178.77047396
risk_train,30/06/2025,5,-0.07290025,,4,0,1,,0.71479311
risk_train,31/07/2025,2,0.14866199,,1,0,1,,3716550.75
risk_train,31/08/2025,1,0.00037539,,1,0,0,,0.0
risk_train,30/09/2025,11,-0.59301891,,8,0,3,,0.71758155
risk_train,31/10/2025,17,0.92450059,,11,0,6,,1.13693361
risk_train,30/11/2025,1,-3.41e-05,,0,0,1,,0.0
risk_train,31/12/2025,20,-1.7286823,,12,0,8,,0.19784307
risk_test,31/01/2026,18,-2.05700785,,5,0,13,,0.17616721
risk_test,28/02/2026,22,-7.83975167,,12,0,10,,0.03310615
risk_test,31/03/2026,11,-0.20109638,,5,0,6,,0.45613245
risk_test,30/04/2026,11,-0.14470086,,7,0,4,,0.36544841
risk_test,31/05/2026,12,0.06761645,,11,0,1,,1.34180796
risk_test,30/06/2026,12,1.30615171,,9,0,3,,80.57202473
risk_test,31/07/2026,3,-0.06716003,,2,0,1,,0.00850199
